class_id,course_code,semester,class_group,lecturer_name
1,CH1003,HK243,L01,Hồ Minh Nam
2,CH1003,HK243,L02,Hồ Khánh Phúc
3,CH1003,HK243,L03,Phạm Ngọc Nam
4,CO1005,HK243,L01,Lý Đức Khôi
5,CO1005,HK243,L02,Võ Gia Nhi
6,CO1005,HK243,L03,Đỗ Văn Uyên
7,CO1005,HK243,L04,Lê Đức Nam
8,CO1005,HK243,L05,Dương Đức Khôi
9,CO1005,HK243,L06,Dương Thị Phúc
10,CO1005,HK243,L07,Ngô Hữu Duy
11,CO1007,HK243,L01,Võ Khánh Việt
12,CO1007,HK243,L02,Đặng Gia Hiếu
13,CO1007,HK243,L03,Phạm Hoàng Trinh
14,CO1007,HK243,L04,Hồ Khánh Trinh
15,CO1007,HK243,L05,Lê Đức An
16,CO1007,HK243,L06,Trần Minh Hiếu
17,CO1007,HK243,L07,Bùi Anh Trinh
18,CO1023,HK243,L01,Đỗ Minh Duy
19,CO1023,HK243,L02,Bùi Ngọc Bảo
20,CO1023,HK243,L03,Bùi Ngọc Anh
21,CO1023,HK243,L04,Lý Anh Quân
22,CO1027,HK243,L01,Đỗ Minh Duy
23,CO1027,HK243,L02,Ngô Hữu Duy
24,CO1027,HK243,L03,Bùi Minh Minh
25,CO1027,HK243,L04,Lê Đức Nam
26,CO1027,HK243,L05,Lê Đức Nam
27,CO1027,HK243,L06,Phạm Đức Nhi
28,CO1027,HK243,L07,Nguyễn Quốc Tuấn
29,CO1027,HK243,L08,Nguyễn Hoàng Hùng
30,CO1027,HK243,L09,Bùi Ngọc Bảo
31,CO2001,HK243,L01,Lý Khánh Hiếu
32,CO2001,HK243,L02,Huỳnh Ngọc Khôi
33,CO2001,HK243,L03,Đặng Phương Hùng
34,CO2001,HK243,L04,Đỗ Văn Uyên
35,CO2001,HK243,L05,Đỗ Hữu Phát
36,CO2001,HK243,L06,Nguyễn Hoàng Hùng
37,CO2001,HK243,L07,Dương Anh Thảo
38,CO2001,HK243,L08,Đặng Quang Hải
39,CO2001,HK243,L09,Bùi Minh Minh
40,CO2003,HK243,L01,Dương Anh Thảo
41,CO2003,HK243,L02,Hoàng Quang Hiếu
42,CO2003,HK243,L03,Võ Gia Nhi
43,CO2003,HK243,L04,Dương Quang Hà
44,CO2007,HK243,L01,Phạm Ngọc Nam
45,CO2007,HK243,L02,Dương Thị Phúc
46,CO2007,HK243,L03,Bùi Anh Hiếu
47,CO2011,HK243,L01,Huỳnh Quốc Linh
48,CO2011,HK243,L02,Lê Đức Nam
49,CO2011,HK243,L03,Võ Ngọc Quân
50,CO2011,HK243,L04,Hoàng Thị Hiếu
51,CO2013,HK243,L01,Huỳnh Phương Long
52,CO2013,HK243,L02,Đỗ Ngọc Duy
53,CO2013,HK243,L03,Huỳnh Phương Long
54,CO2013,HK243,L04,Dương Tuấn Tú
55,CO2013,HK243,L05,Lê Ngọc Nhi
56,CO2013,HK243,L06,Huỳnh Quốc Linh
57,CO2013,HK243,L07,Võ Ngọc Lam
58,CO2013,HK243,L08,Nguyễn Quang Tuấn
59,CO2017,HK243,L01,Lý Đức Anh
60,CO2017,HK243,L02,Huỳnh Phương Long
61,CO2017,HK243,L03,Huỳnh Hữu Trinh
62,CO2017,HK243,L04,Nguyễn Ngọc Hải
63,CO2017,HK243,L05,Nguyễn Tuấn Tuấn
64,CO2017,HK243,L06,Hồ Anh Quang
65,CO2039,HK243,L01,Võ Quang Hà
66,CO2039,HK243,L02,Lê Quang Hiếu
67,CO2039,HK243,L03,Đỗ Thanh Châu
68,CO2039,HK243,L04,Hồ Khánh Phúc
69,CO2039,HK243,L05,Ngô Hữu Duy
70,CO2039,HK243,L06,Võ Khánh An
71,CO2039,HK243,L07,Lý Khánh Hiếu
72,CO2039,HK243,L08,Phạm Khánh Nam
73,CO2039,HK243,L09,Hồ Khánh Phúc
74,CO3001,HK243,L01,Đỗ Ngọc Duy
75,CO3001,HK243,L02,Võ Ngọc Lam
76,CO3001,HK243,L03,Dương Đức Khôi
77,CO3001,HK243,L04,Bùi Minh Minh
78,CO3001,HK243,L05,Bùi Minh Minh
79,CO3001,HK243,L06,Hồ Minh Nam
80,CO3001,HK243,L07,Nguyễn Hoàng Hùng
81,CO3001,HK243,L08,Lý Anh Quân
82,CO3001,HK243,L09,Lý Quang Phát
83,CO3001,HK243,L10,Hoàng Khánh Long
84,CO3005,HK243,L01,Hoàng Quang Hiếu
85,CO3005,HK243,L02,Võ Gia Nhi
86,CO3005,HK243,L03,Đỗ Văn Uyên
87,CO3005,HK243,L04,Lý Khánh Hiếu
88,CO3005,HK243,L05,Huỳnh Ngọc Khôi
89,CO3011,HK243,L01,Huỳnh Hữu Trinh
90,CO3011,HK243,L02,Võ Khánh Việt
91,CO3011,HK243,L03,Phạm Khánh Nam
92,CO3011,HK243,L04,Bùi Hữu Trinh
93,CO3011,HK243,L05,Huỳnh Quốc Linh
94,CO3011,HK243,L06,Đỗ Hữu Long
95,CO3011,HK243,L07,Nguyễn Quốc Tuấn
96,CO3011,HK243,L08,Bùi Anh Hiếu
97,CO3011,HK243,L09,Huỳnh Quốc Linh
98,CO3011,HK243,L10,Nguyễn Quốc Tuấn
