id,course_id,lecturer_name
131_L01_CH1003,CH1003,Đặng Gia Hiếu
131_L02_CH1003,CH1003,Hồ Thị Hiếu
131_L03_CH1003,CH1003,Hồ Minh Nam
131_L04_CH1003,CH1003,Đặng Gia Hiếu
131_L05_CH1003,CH1003,Dương Anh Thảo
131_L06_CH1003,CH1003,Phạm Gia Anh
131_L07_CH1003,CH1003,Nguyễn Quốc Tuấn
131_L08_CH1003,CH1003,Phạm Ngọc Nam
131_L01_CO1005,CO1005,Đặng Quốc Trang
131_L02_CO1005,CO1005,Nguyễn Quốc Tuấn
131_L03_CO1005,CO1005,Đặng Quốc Trang
131_L01_CO1007,CO1007,Đặng Phương Hùng
131_L02_CO1007,CO1007,Võ Quang Hà
131_L03_CO1007,CO1007,Nguyễn Thanh Hùng
131_L01_CO1023,CO1023,Lê Thanh Hải
131_L02_CO1023,CO1023,Lê Ngọc Nhi
131_L03_CO1023,CO1023,Lê Hoàng Lam
131_L04_CO1023,CO1023,Phạm Ngọc Nam
131_L01_CO1027,CO1027,Phan Quốc Trinh
131_L02_CO1027,CO1027,Ngô Quốc An
131_L03_CO1027,CO1027,Hồ Anh Quang
131_L04_CO1027,CO1027,Ngô Quang Châu
131_L05_CO1027,CO1027,Vũ Quốc Châu
131_L06_CO1027,CO1027,Đỗ Hữu Long
131_L07_CO1027,CO1027,Lý Khánh Hiếu
131_L08_CO1027,CO1027,Đỗ Tuấn Linh
131_L01_CO2001,CO2001,Võ Khánh Việt
131_L02_CO2001,CO2001,Dương Anh Thảo
131_L03_CO2001,CO2001,Đỗ Hữu Quân
131_L04_CO2001,CO2001,Huỳnh Quốc Linh
131_L05_CO2001,CO2001,Dương Tuấn Tú
131_L06_CO2001,CO2001,Dương Minh Tuấn
131_L07_CO2001,CO2001,Võ Khánh An
131_L08_CO2001,CO2001,Nguyễn Quang Tuấn
131_L01_CO2003,CO2003,Phạm Khánh Nam
131_L02_CO2003,CO2003,Đỗ Ngọc Duy
131_L03_CO2003,CO2003,Lê Thanh Hải
131_L04_CO2003,CO2003,Lê Quang Hiếu
131_L05_CO2003,CO2003,Bùi Ngọc Anh
131_L06_CO2003,CO2003,Dương Thị Phúc
131_L07_CO2003,CO2003,Lê Khánh Minh
131_L08_CO2003,CO2003,Trần Tuấn Lam
131_L01_CO2007,CO2007,Đỗ Minh Trang
131_L02_CO2007,CO2007,Võ Ngọc Lam
131_L03_CO2007,CO2007,Võ Hữu Mai
131_L04_CO2007,CO2007,Vũ Quốc Châu
131_L05_CO2007,CO2007,Dương Hữu Bảo
131_L06_CO2007,CO2007,Trần Thị Bảo
131_L07_CO2007,CO2007,Ngô Quang Châu
131_L08_CO2007,CO2007,Đặng Gia Hiếu
131_L09_CO2007,CO2007,Võ Ngọc Quân
131_L10_CO2007,CO2007,Đặng Quang Hải
131_L01_CO2011,CO2011,Nguyễn Thanh Hùng
131_L02_CO2011,CO2011,Lê Khánh Yến
131_L03_CO2011,CO2011,Ngô Thị Yến
131_L04_CO2011,CO2011,Võ Phương Khôi
131_L05_CO2011,CO2011,Đỗ Văn Uyên
131_L06_CO2011,CO2011,Bùi Quang Hà
131_L07_CO2011,CO2011,Lê Tuấn Nhi
131_L01_CO2013,CO2013,Dương Thị Phúc
131_L02_CO2013,CO2013,Bùi Anh Hiếu
131_L03_CO2013,CO2013,Nguyễn Gia Thảo
131_L04_CO2013,CO2013,Đỗ Ngọc Duy
131_L05_CO2013,CO2013,Bùi Ngọc Bảo
131_L06_CO2013,CO2013,Hồ Khánh Phúc
131_L01_CO2017,CO2017,Hoàng Thị Hiếu
131_L02_CO2017,CO2017,Phạm Ngọc Nam
131_L03_CO2017,CO2017,Võ Khánh Việt
131_L04_CO2017,CO2017,Hồ Thị Hiếu
131_L05_CO2017,CO2017,Đặng Quốc Trang
131_L06_CO2017,CO2017,Lý Hoàng Trinh
131_L07_CO2017,CO2017,Võ Khánh Việt
131_L01_CO2039,CO2039,Lý Anh Quân
131_L02_CO2039,CO2039,Dương Đức Khôi
131_L03_CO2039,CO2039,Đỗ Minh Trang
131_L04_CO2039,CO2039,Đặng Quang Hải
131_L05_CO2039,CO2039,Dương Quang Hà
131_L06_CO2039,CO2039,Lê Thanh Hải
131_L01_CO3001,CO3001,Bùi Anh Trinh
131_L02_CO3001,CO3001,Dương Anh An
131_L03_CO3001,CO3001,Nguyễn Hoàng Hùng
131_L04_CO3001,CO3001,Đỗ Đức Khang
131_L05_CO3001,CO3001,Vũ Quốc Châu
