lecture_id,name,email,role,title
1300746,Ngô Quốc An,ngoquocan.1300746@hcmut.edu.vn,lecturer,master
1308665,Dương Đức Khôi,duongduckhoi.1308665@hcmut.edu.vn,lecturer,professor
1316584,Lý Hoàng Duy,lyhoangduy.1316584@hcmut.edu.vn,lecturer,doctor
1324503,Phạm Ngọc Nam,phamngocnam.1324503@hcmut.edu.vn,lecturer,professor
1332422,Hồ Khánh Trinh,hokhanhtrinh.1332422@hcmut.edu.vn,lecturer,bachelor
1340341,Bùi Hữu Trinh,buihuutrinh.1340341@hcmut.edu.vn,lecturer,master
1348260,Huỳnh Anh Nam,huynhanhnam.1348260@hcmut.edu.vn,lecturer,associate_professor
1356179,Lê Thanh Hải,lethanhhai.1356179@hcmut.edu.vn,lecturer,master
1364098,Bùi Anh Hiếu,buianhhieu.1364098@hcmut.edu.vn,lecturer,professor
1372017,Dương Hữu Bảo,duonghuubao.1372017@hcmut.edu.vn,lecturer,master
1379936,Lê Tuấn Nhi,letuannhi.1379936@hcmut.edu.vn,lecturer,professor
1387855,Huỳnh Ngọc Khôi,huynhngockhoi.1387855@hcmut.edu.vn,lecturer,bachelor
1395774,Đỗ Đức Khang,doduckhang.1395774@hcmut.edu.vn,lecturer,professor
1303693,Võ Khánh An,vokhanhan.1303693@hcmut.edu.vn,lecturer,professor
1311612,Phan Văn Trang,phanvantrang.1311612@hcmut.edu.vn,lecturer,doctor
1319531,Lý Quang Phát,lyquangphat.1319531@hcmut.edu.vn,lecturer,associate_professor
1327450,Phạm Đức Nhi,phamducnhi.1327450@hcmut.edu.vn,lecturer,bachelor
1335369,Lê Đức An,leducan.1335369@hcmut.edu.vn,lecturer,bachelor
1343288,Bùi Ngọc Anh,buingocanh.1343288@hcmut.edu.vn,lecturer,associate_professor
1351207,Huỳnh Quốc Linh,huynhquoclinh.1351207@hcmut.edu.vn,lecturer,bachelor
1359126,Bùi Quang Hà,buiquangha.1359126@hcmut.edu.vn,lecturer,associate_professor
1367045,Bùi Minh Minh,buiminhminh.1367045@hcmut.edu.vn,lecturer,doctor
1374964,Trần Tuấn Lam,trantuanlam.1374964@hcmut.edu.vn,lecturer,bachelor
1382883,Lê Anh Thảo,leanhthao.1382883@hcmut.edu.vn,lecturer,associate_professor
1390802,Ngô Quang Châu,ngoquangchau.1390802@hcmut.edu.vn,lecturer,master
1398721,Hoàng Khánh Long,hoangkhanhlong.1398721@hcmut.edu.vn,lecturer,bachelor
1306640,Nguyễn Quốc Tuấn,nguyenquoctuan.1306640@hcmut.edu.vn,lecturer,doctor
1314559,Phạm Hoàng Trinh,phamhoangtrinh.1314559@hcmut.edu.vn,lecturer,associate_professor
1322478,Lê Hoàng Lam,lehoanglam.1322478@hcmut.edu.vn,lecturer,associate_professor
1330397,Đỗ Minh Duy,dominhduy.1330397@hcmut.edu.vn,lecturer,doctor
1338316,Lê Khánh Yến,lekhanhyen.1338316@hcmut.edu.vn,lecturer,professor
1346235,Đặng Gia Hiếu,danggiahieu.1346235@hcmut.edu.vn,lecturer,master
1354154,Đỗ Thanh Châu,dothanhchau.1354154@hcmut.edu.vn,lecturer,bachelor
1362073,Dương Minh Tuấn,duongminhtuan.1362073@hcmut.edu.vn,lecturer,professor
1369992,Lê Quang Hiếu,lequanghieu.1369992@hcmut.edu.vn,lecturer,master
1377911,Nguyễn Ngọc Hải,nguyenngochai.1377911@hcmut.edu.vn,lecturer,associate_professor
1385830,Lý Hoàng Trinh,lyhoangtrinh.1385830@hcmut.edu.vn,lecturer,associate_professor
1393749,Hồ Thị Hiếu,hothihieu.1393749@hcmut.edu.vn,lecturer,bachelor
1301668,Nguyễn Quang Tuấn,nguyenquangtuan.1301668@hcmut.edu.vn,lecturer,professor
1309587,Lý Đức Khôi,lyduckhoi.1309587@hcmut.edu.vn,lecturer,doctor
1317506,Nguyễn Anh Trang,nguyenanhtrang.1317506@hcmut.edu.vn,lecturer,master
1325425,Hoàng Thị Hiếu,hoangthihieu.1325425@hcmut.edu.vn,lecturer,doctor
1333344,Lê Ngọc Nhi,lengocnhi.1333344@hcmut.edu.vn,lecturer,bachelor
1341263,Phan Quốc Trinh,phanquoctrinh.1341263@hcmut.edu.vn,lecturer,associate_professor
1349182,Nguyễn Ngọc Duy,nguyenngocduy.1349182@hcmut.edu.vn,lecturer,professor
1357101,Bùi Quang Khôi,buiquangkhoi.1357101@hcmut.edu.vn,lecturer,professor
1365020,Đỗ Hữu Phát,dohuuphat.1365020@hcmut.edu.vn,lecturer,professor
1372939,Hồ Minh Nam,hominhnam.1372939@hcmut.edu.vn,lecturer,associate_professor
1380858,Đỗ Anh Minh,doanhminh.1380858@hcmut.edu.vn,lecturer,bachelor
1388777,Đỗ Tuấn Linh,dotuanlinh.1388777@hcmut.edu.vn,lecturer,master
1396696,Vũ Ngọc Linh,vungoclinh.1396696@hcmut.edu.vn,lecturer,professor
1304615,Đỗ Văn Uyên,dovanuyen.1304615@hcmut.edu.vn,lecturer,doctor
1312534,Trần Thị Bảo,tranthibao.1312534@hcmut.edu.vn,lecturer,associate_professor
1320453,Dương Anh Thảo,duonganhthao.1320453@hcmut.edu.vn,lecturer,doctor
1328372,Bùi Anh Trinh,buianhtrinh.1328372@hcmut.edu.vn,lecturer,associate_professor
1336291,Nguyễn Hoàng Hùng,nguyenhoanghung.1336291@hcmut.edu.vn,lecturer,associate_professor
1344210,Hồ Khánh Phúc,hokhanhphuc.1344210@hcmut.edu.vn,lecturer,doctor
1352129,Võ Hữu Mai,vohuumai.1352129@hcmut.edu.vn,lecturer,associate_professor
1360048,Ngô Hữu Duy,ngohuuduy.1360048@hcmut.edu.vn,lecturer,master
1367967,Huỳnh Phương Long,huynhphuonglong.1367967@hcmut.edu.vn,lecturer,bachelor
1375886,Dương Quang Hà,duongquangha.1375886@hcmut.edu.vn,lecturer,associate_professor
1383805,Trần Minh Hiếu,tranminhhieu.1383805@hcmut.edu.vn,lecturer,associate_professor
1391724,Đặng Phương Hùng,dangphuonghung.1391724@hcmut.edu.vn,lecturer,bachelor
1399643,Phạm Gia Anh,phamgiaanh.1399643@hcmut.edu.vn,lecturer,master
1307562,Hoàng Quang Hiếu,hoangquanghieu.1307562@hcmut.edu.vn,lecturer,professor
1315481,Võ Ngọc Lam,vongoclam.1315481@hcmut.edu.vn,lecturer,bachelor
1323400,Đặng Quốc Trang,dangquoctrang.1323400@hcmut.edu.vn,lecturer,professor
1331319,Lê Quốc Yến,lequocyen.1331319@hcmut.edu.vn,lecturer,master
1339238,Bùi Ngọc Bảo,buingocbao.1339238@hcmut.edu.vn,lecturer,professor
1347157,Nguyễn Gia Thảo,nguyengiathao.1347157@hcmut.edu.vn,lecturer,associate_professor
1355076,Đặng Đức Châu,dangducchau.1355076@hcmut.edu.vn,lecturer,doctor
1362995,Vũ Quốc Châu,vuquocchau.1362995@hcmut.edu.vn,lecturer,associate_professor
1370914,Võ Khánh Việt,vokhanhviet.1370914@hcmut.edu.vn,lecturer,associate_professor
1378833,Nguyễn Tuấn Tuấn,nguyentuantuan.1378833@hcmut.edu.vn,lecturer,bachelor
1386752,Dương Anh An,duonganhan.1386752@hcmut.edu.vn,lecturer,master
1394671,Đặng Quang Hải,dangquanghai.1394671@hcmut.edu.vn,lecturer,doctor
1302590,Đỗ Hữu Quân,dohuuquan.1302590@hcmut.edu.vn,lecturer,bachelor
1310509,Võ Gia Nhi,vogianhi.1310509@hcmut.edu.vn,lecturer,doctor
1318428,Võ Ngọc Quân,vongocquan.1318428@hcmut.edu.vn,lecturer,bachelor
1326347,Ngô Thị Yến,ngothiyen.1326347@hcmut.edu.vn,lecturer,professor
1334266,Đỗ Hữu Long,dohuulong.1334266@hcmut.edu.vn,lecturer,bachelor
1342185,Lý Khánh Hiếu,lykhanhhieu.1342185@hcmut.edu.vn,lecturer,associate_professor
1350104,Võ Phương Khôi,vophuongkhoi.1350104@hcmut.edu.vn,lecturer,bachelor
1358023,Đỗ Minh Trang,dominhtrang.1358023@hcmut.edu.vn,lecturer,doctor
1365942,Võ Quang Hà,voquangha.1365942@hcmut.edu.vn,lecturer,bachelor
1373861,Hoàng Gia Châu,hoanggiachau.1373861@hcmut.edu.vn,lecturer,professor
1381780,Lê Khánh Minh,lekhanhminh.1381780@hcmut.edu.vn,lecturer,bachelor
1389699,Nguyễn Thanh Hùng,nguyenthanhhung.1389699@hcmut.edu.vn,lecturer,professor
1397618,Lý Gia Lam,lygialam.1397618@hcmut.edu.vn,lecturer,professor
1305537,Võ Minh Châu,vominhchau.1305537@hcmut.edu.vn,lecturer,associate_professor
1313456,Lý Đức Anh,lyducanh.1313456@hcmut.edu.vn,lecturer,bachelor
1321375,Lê Đức Nam,leducnam.1321375@hcmut.edu.vn,lecturer,doctor
1329294,Huỳnh Hữu Trinh,huynhhuutrinh.1329294@hcmut.edu.vn,lecturer,associate_professor
1337213,Hồ Anh Quang,hoanhquang.1337213@hcmut.edu.vn,lecturer,master
1345132,Dương Tuấn Tú,duongtuantu.1345132@hcmut.edu.vn,lecturer,associate_professor
1353051,Đỗ Ngọc Duy,dongocduy.1353051@hcmut.edu.vn,lecturer,professor
1360970,Dương Thị Phúc,duongthiphuc.1360970@hcmut.edu.vn,lecturer,associate_professor
1368889,Lý Anh Quân,lyanhquan.1368889@hcmut.edu.vn,lecturer,bachelor
1376808,Phạm Khánh Nam,phamkhanhnam.1376808@hcmut.edu.vn,lecturer,doctor
1384727,Ngô Thanh Lam,ngothanhlam.1384727@hcmut.edu.vn,lecturer,doctor
