"user_id","name","email","password","password_hash","role","title"
"1300746","Ngô Quốc An","ngoquocan.1300746@hcmut.edu.vn","C1oFmYWHKpx5","C1oFmYWHKpx5","lecturer","master"
"1308665","Dương Đức Khôi","duongduckhoi.1308665@hcmut.edu.vn","SPPbnnVy3qWX","SPPbnnVy3qWX","lecturer","professor"
"1316584","Lý Hoàng Duy","lyhoangduy.1316584@hcmut.edu.vn","xBZQzPgAKvuO","xBZQzPgAKvuO","lecturer","doctor"
"1324503","Phạm Ngọc Nam","phamngocnam.1324503@hcmut.edu.vn","TbheE7a5ZBeA","TbheE7a5ZBeA","lecturer","professor"
"1332422","Hồ Khánh Trinh","hokhanhtrinh.1332422@hcmut.edu.vn","irnw2RITikRY","irnw2RITikRY","lecturer","bachelor"
"1340341","Bùi Hữu Trinh","buihuutrinh.1340341@hcmut.edu.vn","Pa7bwQ0lTFKQ","Pa7bwQ0lTFKQ","lecturer","master"
"1348260","Huỳnh Anh Nam","huynhanhnam.1348260@hcmut.edu.vn","SosGbaJJoTKG","SosGbaJJoTKG","lecturer","associate_professor"
"1356179","Lê Thanh Hải","lethanhhai.1356179@hcmut.edu.vn","lYimtc4PRD8n","lYimtc4PRD8n","lecturer","master"
"1364098","Bùi Anh Hiếu","buianhhieu.1364098@hcmut.edu.vn","tvg55aQRrsfj","tvg55aQRrsfj","lecturer","professor"
"1372017","Dương Hữu Bảo","duonghuubao.1372017@hcmut.edu.vn","GaecTiMOkDoy","GaecTiMOkDoy","lecturer","master"
"1379936","Lê Tuấn Nhi","letuannhi.1379936@hcmut.edu.vn","a5jFHto8H20Y","a5jFHto8H20Y","lecturer","professor"
"1387855","Huỳnh Ngọc Khôi","huynhngockhoi.1387855@hcmut.edu.vn","JgdOmWbF796d","JgdOmWbF796d","lecturer","bachelor"
"1395774","Đỗ Đức Khang","doduckhang.1395774@hcmut.edu.vn","JmfM2F8wkgVL","JmfM2F8wkgVL","lecturer","professor"
"1303693","Võ Khánh An","vokhanhan.1303693@hcmut.edu.vn","W83XxOpjSJR6","W83XxOpjSJR6","lecturer","professor"
"1311612","Phan Văn Trang","phanvantrang.1311612@hcmut.edu.vn","vzII0cnqS3Gx","vzII0cnqS3Gx","lecturer","doctor"
"1319531","Lý Quang Phát","lyquangphat.1319531@hcmut.edu.vn","RXWTJfWKwF0t","RXWTJfWKwF0t","lecturer","associate_professor"
"1327450","Phạm Đức Nhi","phamducnhi.1327450@hcmut.edu.vn","hcAuDmXNu7nW","hcAuDmXNu7nW","lecturer","bachelor"
"1335369","Lê Đức An","leducan.1335369@hcmut.edu.vn","z8ZsDgJHlOmX","z8ZsDgJHlOmX","lecturer","bachelor"
"1343288","Bùi Ngọc Anh","buingocanh.1343288@hcmut.edu.vn","NV76idxNi5zy","NV76idxNi5zy","lecturer","associate_professor"
"1351207","Huỳnh Quốc Linh","huynhquoclinh.1351207@hcmut.edu.vn","OppRwZ9CbNqi","OppRwZ9CbNqi","lecturer","bachelor"
"1359126","Bùi Quang Hà","buiquangha.1359126@hcmut.edu.vn","RojYD0ziOk25","RojYD0ziOk25","lecturer","associate_professor"
"1367045","Bùi Minh Minh","buiminhminh.1367045@hcmut.edu.vn","p5VnOfb0bQP7","p5VnOfb0bQP7","lecturer","doctor"
"1374964","Trần Tuấn Lam","trantuanlam.1374964@hcmut.edu.vn","2B06dAuaGHly","2B06dAuaGHly","lecturer","bachelor"
"1382883","Lê Anh Thảo","leanhthao.1382883@hcmut.edu.vn","RaYOU3KnszpI","RaYOU3KnszpI","lecturer","associate_professor"
"1390802","Ngô Quang Châu","ngoquangchau.1390802@hcmut.edu.vn","Rqn4aJYu8uQv","Rqn4aJYu8uQv","lecturer","master"
"1398721","Hoàng Khánh Long","hoangkhanhlong.1398721@hcmut.edu.vn","MhEjv5vlBwv4","MhEjv5vlBwv4","lecturer","bachelor"
"1306640","Nguyễn Quốc Tuấn","nguyenquoctuan.1306640@hcmut.edu.vn","Ko3ByGr88meN","Ko3ByGr88meN","lecturer","doctor"
"1314559","Phạm Hoàng Trinh","phamhoangtrinh.1314559@hcmut.edu.vn","FRRTy73jlDBw","FRRTy73jlDBw","lecturer","associate_professor"
"1322478","Lê Hoàng Lam","lehoanglam.1322478@hcmut.edu.vn","44FNOa19HfIj","44FNOa19HfIj","lecturer","associate_professor"
"1330397","Đỗ Minh Duy","dominhduy.1330397@hcmut.edu.vn","tOYa8xqilHk7","tOYa8xqilHk7","lecturer","doctor"
"1338316","Lê Khánh Yến","lekhanhyen.1338316@hcmut.edu.vn","g5Zn9VkOUqvL","g5Zn9VkOUqvL","lecturer","professor"
"1346235","Đặng Gia Hiếu","danggiahieu.1346235@hcmut.edu.vn","4OJUS2QywR4E","4OJUS2QywR4E","lecturer","master"
"1354154","Đỗ Thanh Châu","dothanhchau.1354154@hcmut.edu.vn","5xmgNrCEm9eq","5xmgNrCEm9eq","lecturer","bachelor"
"1362073","Dương Minh Tuấn","duongminhtuan.1362073@hcmut.edu.vn","PenHszD6sqPF","PenHszD6sqPF","lecturer","professor"
"1369992","Lê Quang Hiếu","lequanghieu.1369992@hcmut.edu.vn","IWFRPeKLWzEz","IWFRPeKLWzEz","lecturer","master"
"1377911","Nguyễn Ngọc Hải","nguyenngochai.1377911@hcmut.edu.vn","KejLtNJgJVm9","KejLtNJgJVm9","lecturer","associate_professor"
"1385830","Lý Hoàng Trinh","lyhoangtrinh.1385830@hcmut.edu.vn","NSKm1abIEVNj","NSKm1abIEVNj","lecturer","associate_professor"
"1393749","Hồ Thị Hiếu","hothihieu.1393749@hcmut.edu.vn","1xtIjNK64sZN","1xtIjNK64sZN","lecturer","bachelor"
"1301668","Nguyễn Quang Tuấn","nguyenquangtuan.1301668@hcmut.edu.vn","8zHxnbcnc3IH","8zHxnbcnc3IH","lecturer","professor"
"1309587","Lý Đức Khôi","lyduckhoi.1309587@hcmut.edu.vn","CEHL7Dlj7hSX","CEHL7Dlj7hSX","lecturer","doctor"
"1317506","Nguyễn Anh Trang","nguyenanhtrang.1317506@hcmut.edu.vn","ZiaRKhNy8ycY","ZiaRKhNy8ycY","lecturer","master"
"1325425","Hoàng Thị Hiếu","hoangthihieu.1325425@hcmut.edu.vn","H9hMhBb80jI8","H9hMhBb80jI8","lecturer","doctor"
"1333344","Lê Ngọc Nhi","lengocnhi.1333344@hcmut.edu.vn","BbfOLvviWfqb","BbfOLvviWfqb","lecturer","bachelor"
"1341263","Phan Quốc Trinh","phanquoctrinh.1341263@hcmut.edu.vn","lD4CtjeceCHc","lD4CtjeceCHc","lecturer","associate_professor"
"1349182","Nguyễn Ngọc Duy","nguyenngocduy.1349182@hcmut.edu.vn","vn8UXjghT2Hp","vn8UXjghT2Hp","lecturer","professor"
"1357101","Bùi Quang Khôi","buiquangkhoi.1357101@hcmut.edu.vn","27uAHOSSV2FV","27uAHOSSV2FV","lecturer","professor"
