student_id,name,email,role,title,cohort,major
2310001,Nguyễn Quang Phúc,nguyenquangphuc.2310001@hcmut.edu.vn,student,undergraduate,K23,computer science
2410001,Đặng Tuấn Phát,dangtuanphat.2410001@hcmut.edu.vn,student,undergraduate,K24,computer science
2510001,Đặng Anh Phúc,danganhphuc.2510001@hcmut.edu.vn,student,undergraduate,K25,computer science
2610001,Lý Thị Mai,lythimai.2610001@hcmut.edu.vn,student,undergraduate,K26,computer science
2310002,Phan Hoàng Minh,phanhoangminh.2310002@hcmut.edu.vn,student,undergraduate,K23,computer science
2410002,Phan Thị Trinh,phanthitrinh.2410002@hcmut.edu.vn,student,undergraduate,K24,computer science
2510002,Ngô Hữu Nhi,ngohuunhi.2510002@hcmut.edu.vn,student,undergraduate,K25,computer science
2610002,Lý Thị Nam,lythinam.2610002@hcmut.edu.vn,student,undergraduate,K26,computer science
2310003,Vũ Thanh Thảo,vuthanhthao.2310003@hcmut.edu.vn,student,undergraduate,K23,computer science
2410003,Vũ Hữu Việt,vuhuuviet.2410003@hcmut.edu.vn,student,undergraduate,K24,computer science
2510003,Phạm Thanh Phát,phamthanhphat.2510003@hcmut.edu.vn,student,undergraduate,K25,computer science
2610003,Trần Tuấn Bảo,trantuanbao.2610003@hcmut.edu.vn,student,undergraduate,K26,computer science
2310004,Đỗ Hữu Khang,dohuukhang.2310004@hcmut.edu.vn,student,undergraduate,K23,computer science
2410004,Nguyễn Quang Uyên,nguyenquanguyen.2410004@hcmut.edu.vn,student,undergraduate,K24,computer science
2510004,Huỳnh Hoàng Yến,huynhhoangyen.2510004@hcmut.edu.vn,student,undergraduate,K25,computer science
2610004,Lê Hoàng Thảo,lehoangthao.2610004@hcmut.edu.vn,student,undergraduate,K26,computer science
2310005,Vũ Ngọc Hùng,vungochung.2310005@hcmut.edu.vn,student,undergraduate,K23,computer science
2410005,Hồ Thị Thảo,hothithao.2410005@hcmut.edu.vn,student,undergraduate,K24,computer science
2510005,Đặng Hữu Hà,danghuuha.2510005@hcmut.edu.vn,student,undergraduate,K25,computer science
2610005,Bùi Anh Yến,buianhyen.2610005@hcmut.edu.vn,student,undergraduate,K26,computer science
2310006,Hoàng Minh Việt,hoangminhviet.2310006@hcmut.edu.vn,student,undergraduate,K23,computer science
2410006,Vũ Quang Mai,vuquangmai.2410006@hcmut.edu.vn,student,undergraduate,K24,computer science
2510006,Hồ Thị Châu,hothichau.2510006@hcmut.edu.vn,student,undergraduate,K25,computer science
2610006,Phạm Khánh Linh,phamkhanhlinh.2610006@hcmut.edu.vn,student,undergraduate,K26,computer science
2310007,Phan Khánh Anh,phankhanhanh.2310007@hcmut.edu.vn,student,undergraduate,K23,computer science
2410007,Đặng Hoàng Quang,danghoangquang.2410007@hcmut.edu.vn,student,undergraduate,K24,computer science
2510007,Võ Phương Khang,vophuongkhang.2510007@hcmut.edu.vn,student,undergraduate,K25,computer science
2610007,Phan Tuấn Quang,phantuanquang.2610007@hcmut.edu.vn,student,undergraduate,K26,computer science
2310008,Phan Tuấn Quân,phantuanquan.2310008@hcmut.edu.vn,student,undergraduate,K23,computer science
2410008,Huỳnh Hữu Trinh,huynhhuutrinh.2410008@hcmut.edu.vn,student,undergraduate,K24,computer science
2510008,Ngô Quốc Quang,ngoquocquang.2510008@hcmut.edu.vn,student,undergraduate,K25,computer science
2610008,Vũ Hữu Hải,vuhuuhai.2610008@hcmut.edu.vn,student,undergraduate,K26,computer science
2310009,Huỳnh Thanh Phát,huynhthanhphat.2310009@hcmut.edu.vn,student,undergraduate,K23,computer science
2410009,Dương Phương An,duongphuongan.2410009@hcmut.edu.vn,student,undergraduate,K24,computer science
2510009,Phạm Phương An,phamphuongan.2510009@hcmut.edu.vn,student,undergraduate,K25,computer science
2610009,Lê Gia Hà,legiaha.2610009@hcmut.edu.vn,student,undergraduate,K26,computer science
2310010,Nguyễn Thanh Lam,nguyenthanhlam.2310010@hcmut.edu.vn,student,undergraduate,K23,computer science
2410010,Phan Đức Lam,phanduclam.2410010@hcmut.edu.vn,student,undergraduate,K24,computer science
2510010,Vũ Ngọc Bảo,vungocbao.2510010@hcmut.edu.vn,student,undergraduate,K25,computer science
2610010,Nguyễn Quốc Tú,nguyenquoctu.2610010@hcmut.edu.vn,student,undergraduate,K26,computer science
2310011,Phan Khánh Linh,phankhanhlinh.2310011@hcmut.edu.vn,student,undergraduate,K23,computer science
2410011,Hoàng Ngọc Mai,hoangngocmai.2410011@hcmut.edu.vn,student,undergraduate,K24,computer science
2510011,Đặng Hoàng Quân,danghoangquan.2510011@hcmut.edu.vn,student,undergraduate,K25,computer science
2610011,Lý Khánh Yến,lykhanhyen.2610011@hcmut.edu.vn,student,undergraduate,K26,computer science
2310012,Đặng Đức Long,dangduclong.2310012@hcmut.edu.vn,student,undergraduate,K23,computer science
2410012,Nguyễn Anh Khôi,nguyenanhkhoi.2410012@hcmut.edu.vn,student,undergraduate,K24,computer science
2510012,Đỗ Ngọc Lam,dongoclam.2510012@hcmut.edu.vn,student,undergraduate,K25,computer science
2610012,Lý Khánh Duy,lykhanhduy.2610012@hcmut.edu.vn,student,undergraduate,K26,computer science
2310013,Dương Hữu Trinh,duonghuutrinh.2310013@hcmut.edu.vn,student,undergraduate,K23,computer science
2410013,Nguyễn Minh Nhi,nguyenminhnhi.2410013@hcmut.edu.vn,student,undergraduate,K24,computer science
2510013,Vũ Quốc Quang,vuquocquang.2510013@hcmut.edu.vn,student,undergraduate,K25,computer science
